// object has instance vars and isn't a class, get a snapshot to be marshalled // and output the ivar header here
// line 1480
// make all sockets blocking as configured again // close unregisters all channels, so we can safely reset blocking modes
// normal all-rest method
// line 1210
// TODO: make more efficient by not creating IRubyArray[]
// TODO: Ruby unlocks the string here
// We don't append '+' since Java number parser gets confused
// We could not find all of them print out first one (we could print them all?)
// EQ == 0 (i.e. false) // pop the extra result and replace with the send part of the AND
// line 1814
// confirm maximum not greater than optional
// RubyIPSocket
// Not sure how well this works, but it works much better than // just currentTimeMillis by itself.
// line 1320
// TODO: wire into new exception handling mechanism
// rubyObject is already of the required jruby class (or subclass)
// we set all Java methods to optional, since many/most have overloads
// line 1434
// line 407
// Count of nested parentheses (1.9 only)
// A scoped location of this variable (high 16 bits is how many scopes down and low 16 bits // is what index in the right scope to set the value.
// line 543
// first char must be digit or decimal point
// with block literal (iter)
//consume the file name
// any exceptions raised must continue to be raised, skipping $! restoration
// if we expect a return value, unwrap it
// FIXME: This is probably not very efficient, since it loads all methods for each call
// Does this instruction have side effects as a result of its operation // This information is used in optimization phases to impact dead code elimination // and other optimization passes
// ////////////////// COMMON CONSTANT / CVAR METHODS //////////////// //
// TODO: NOT_ALLOCATABLE_ALLOCATOR is probably ok here, since we don't intend for people to monkey with // this type and it can't be marshalled. Confirm. JRUBY-415
// just save a count of zeroes for now; if no digit // ends up following them, they'll be applied to the // exponent rather than the significand (and our max // length for optimistic calc).
// line 1207
// This is almost always already interned, since it will be called with a symbol in most cases // but when created from Java code, we might get an argument that needs to be interned. // addAccessor has as a precondition that the string MUST be interned
// rb_reg_raise
// // Avoid double-copying for reads that are larger than the buffer size, or // the destination is a direct buffer. //
// quietly try to load the class
// Line where current executing unit is being evaluated
// no-arg constructor using static references to Ruby and RubyClass
// If we have more than one arg, make sure the array created to contain them is not ObjectSpaced
// add $RUBYLIB paths
// Accessor methods.
// See [ruby-core:17483]
// Default objects
// FIXME: This is temporary since the variable compilers assume we want // args already on stack for assignment. We just pop and continue with // 1.9 args logic.
"/**     * Process streams get Channel.newChannel()ed into FileChannel but are not actually     * seekable. So instead of just the isSeekable check doing instanceof FileChannel,     * we must also add this boolean to check, which we set to false when it's known     * that the incoming channel is from a process.     *      * FIXME: This is gross, and it's NIO's fault for not providing a nice way to     * tell if a channel is ""really"" seekable.     */"
// default for starting tempVariableIndex is ok
// Stores
// line 159 "-" // %token constants
// // rb_str_buf_append
// The name of the variable
// all these types are immediately considered "defined"
// What linenumber will the source think it starts from?
// clear runtime so it doesn't get stuck in memory (JRUBY-2933)
// line 1075
// For closures, a redo is a jump to the beginning of the closure // For non-closures, a redo is a jump to the beginning of the loop
// This is needed when the enclosing class or module is a singleton. // In that case, we generated a name such as null::Foo, which broke  // Marshalling, among others. The correct thing to do in this situation  // is to insert the generate the name of form #<Class:01xasdfasd> if  // it's a singleton module/class, which this code accomplishes.
// generate method cache initialization code
// line 757
// ignore // switch
// we can't rename a file while it's open in windows
// TODO: make it 16 now ? // MUST be power of 2!
// Don't bother
// this is a rather ugly hack, but similar to MRI. See hash.c:ruby_setenv and similar in MRI // we search all keys for a case-insensitive match, and use that
// range_each_func(range, step_i, b, e, args);
// line 836
//                case FLOAT:
// A thread pool to use for executing this runtime's Ruby threads
// TODO: READ_CHECK from MRI
// build a list of all modules to consider for inclusion
// ------ Define the operations below ----
// line 429
// FIXME: inefficient; constructing a bignum just for dumping?
// ignore; we won't use invokedynamic
// dangling '%' char
// TODO: add trace call?
"/*  ================     *  Instance Methods     *  ================      */"
// restore position
// TODO: why are we duplicating the constants here, and then in // File::Constants below? File::Constants is included in IO.
// Dir::tmpdir
/* EvStrNode :"#{some expression}"*/
// line 604
// if root of method is rescue, build as a light rescue
// Get the value from the map via the key
// line 500
// line 1381
// A cloned method now belongs to a new class.  Set it. // TODO: Make DynamicMethod immutable
// just windows
// IN FACT, we should probably raise an error, yes?
// FIXME: Should we make this work with platform's locale, // or continue hardcoding US?
// finally block to release monitor
// Do nothing.  FD_CLOEXEC has no meaning in JVM since we cannot really exec. // And why the hell does webrick pass this in as a first argument!!!!!
// force heap-scope behavior, since it uses parent's scope
// rb_ary_new4
// TODO: notify threads waiting on descriptors/IO? probably not...
// from DUP_SETUP
// PUSH(0).  If you look at original macro: stack |= (n&1) => stack |= 0 => no-change.
//this relies on the Ruby rounding enumerations == Java ones, which they (currently) all are
// By default, call instructions cannot be deleted even if their results aren't used by anyone // unless we know more about what the call is, what it does, etc. // Similarly for evals, stores, returns.
// gotta have at least a zero...
// line 667
// retrieve scope from scopes array
// We use file test since it is faster than a stat; also euid == uid in Java always
// add a "self" recv here // TODO: is this right?
// mutex that controls modifications of user-defined finalizers
// NIO-based
// line 1827 "DefaultRubyParser.y"
//.append("  -x[directory]   strip off text before #!ruby line and perhaps cd to directory\n")
// Length to read
// MRI doesn't flag it as an error if width is given multiple // times as a number (but it does for *)
// putting a bit back, so we're not at EOF anymore
// signed short, little-endian
// In the current logic, if we get here we know that module is not an // IncludedModuleWrapper, so there's no need to fish out the delegate. But just // in case the logic should change later, let's do it anyway
// Static scoping information for this scope
// Prepare a string with the same number of redundant slashes so that  // we easily can prepend it to the result.
// SSS FIXME: Pick one of bytelist or string, or add internal conversion methods to convert to the default representation
// FIXME This whole thing could probably be implemented as a module and // mixed into appropriate classes, especially if it uses either // IOInput/OutputStream or is smart about the kind of IO-like object // it's being used against.
// MRI behavior
// otherwise, we try an unbuffered read to get whatever's available
// pop extra failed value from first cycle and we're done
// line 1772
// normal return for method body. return jump for within a begin/rescue/ensure
// No timeout in critical section
// If the call has been optimized away in the previous step, it is no longer a hard boundary for opts!
// module/singleton methods are all defined public
// line 660
// ok, it's a socket...set values accordingly // just using AF_INET since we can't tell from SocketChannel...
// line 1273
// Store to temp so it does null out on us mid-stream
// line 1809
/* FIXME: We may be intern'ing more than once.*/
// No directory delimeter.  Rest of string is username
// line 1789
/* ENEBO: Lots of optz in 1.9 parser here*/
// TODO: Generalize this type-checking code into IRubyObject helper.
//        assert thenBody != null : "thenBody is not null"; //        assert elseBody != null : "elseBody is not null";
// remove us from old superclass's child classes
// add name to call site list
//method.invokeinterface(p(IRubyObject.class), "getInstanceVariable", sig(IRubyObject.class, params(String.class)));
// probably a primitive
// Illegal combination
// line 1254
//TODO: ary_sort_check should be done here
/* Nothing to do by default */
//            assert false : "can this happen?";
// call isTrue on the result
// ?b  | boolean | True if file1 is a block device
// TODO: we can probably release our references to the constantFields // array and static/instance callback hashes at this point.
/* \O, \OO, \OOO or backref */
// line 815
// Create Ruby proxies for any input arguments that are not primitives.
// An atomic long for generating DynamicMethod serial numbers
// line 1657
// found a match above, check if remaining separator characters match, appending as we go
"/** * FIXME: This version is faster than the previous, but both suffer from a * crucial flaw: It is impossible to create an ObjectSpace with an iterator * that doesn't either: a. hold on to objects that might otherwise be collected * or b. have no way to guarantee that a call to hasNext() will be correct or * that a subsequent call to next() will produce an object. For our purposes, * for now, this may be acceptable. */"
// host and port given
// Empty paths do not need to be added
// Do not mark this instruction's operands live if the instruction itself is dead!
// the 1 is for the stripped sign char
// intDigits isn't used here, but if it were, it would be 1
// for interface impls
// invalid ranges result in an empty string
//        case 4: //            signature = sig(Object.class, Object.class, Object.class, Object.class, Object.class); //            break; //        case 5: //            signature = sig(Object.class, Object.class, Object.class, Object.class, Object.class, Object.class); //            break;
// continue with normal initialization
/* ---------- Protected / package fields, methods --------- */
// Handle Flow exceptions, just propagating them
// invoke callMethodMissing
// TODO: FD_CLOEXEC is mysterious and we are not sure how constantine should include this. // We did it here for now
// We always prepend an org.jruby.proxy package to the beginning // because java and javax packages are protected and signed // jars prevent us generating new classes with those package // names. See JRUBY-2439.
// line 672
// all precision numebers printed
// TODO: don't calculate the same value 3 times
//        int n = 10;
// If we know what method was being called, strip everything // before the call. This hides the JRuby and reflection internals.
// method has more than 500 lines; we'll need to split it // and therefore need to use a heap-based scope
// line 627
// line 1443
// try all extensions
// CLD is also 20
// root x is ready!
// normal items at the "head" of the masgn
// any ivars, since we don't have __attached__ ivar now
// make getter for proxy class
// FIXME: This table will get moved into POSIX library so we can get all actual supported // signals.  This is a quick fix to support basic signals until that happens.
// Piece of mri rb_to_id
// write-volatile
// caller
// do nothing, it's a non-impl method
// No catch active for this throw
// In case last next was the newline.
// If the killee thread is the same as the killer thread, just die
// do nothing, just exit
// TODO assuming case is a fixnum
//System.err.println(" main/len=" + len);
/* -------------- Private fields and methods below ---------------- */
// do nothing, this iteration restarts
// A 'next' is like a local return from the block, ending this call or yield.
// line 929
// mark as captured if from containing scope
// Build the new module
// line 691
// self = args[0] // SSS FIXME: Verify that this is correct
// PID
// generate symbols initialization code
// just rethrow
// Binding provided for scope, use it
// proxy is under construction, building thread can // safely read non-volatile value
// '~/...' as path to expand
/* was $$ = null;*/
// Ensure room for terminating zero byte
// we basically ignore protocol. let someone report it...
// We do not want to capture cached methods
// there might be more test classes in a single file, so we iterate over them
// line 1746
// All entries following removed node can stay // in list, but all preceding ones need to be // cloned.
// line 1267
// zeroed by jvm
// normal
// now emit bodies
// line 745
// generate variable writers initialization code
// with args, no block
// optimizations if we know ahead of time it will always be true or false
// line 1089
// build first node only and return true
// line 1550
// line 1100
// file given, use it and force it into binding
/* len + margin */
// Java.getProxyClass deals with sync issues, so we won't duplicate the logic here
// ?s  | int/nil | If file1 has nonzero size, return the size, otherwise nil
// TODO: specifying soft refs, may want to compare memory consumption, // behavior with weak refs (specify WEAK in place of SOFT below)
// The implementations of these are all bonus (see TODO above)  I was going // to throw an error from these, but it appears to be the wrong place to // do it.
// if __send__ with a literal symbol, compile it as a direct fcall
// No point in updating number if last number was same value.
// if the read buffer is ahead, back up
// double precision, native
// ...nothing
"/*     * x = mantissa * 2 ** exponent     *     * Where mantissa is in the range of [.5, 1)     *     */"
// ?c  | boolean | True if file1 is a character device
/* rb: check_modifiable */
// // Complete the request by filling the read buffer first //
// only include static methods if specified
// id must always be even
// This is GROSS, but Java API's aren't ISO 8601 compliant at all
// TODO: should probably apply the null object pattern for a // non-allowed class, rather than null
"/* What is \v in C?                    case '\v':                        c2 = 'v';                        break;                        */"
// non-signature signature with just IRubyObject
// set this class's method names in var @__java_ovrd_methods if this // is the new class; otherwise, get method names from there if this is // a proxy superclass.
// line 601
// always false or nil
// Older JDK on linux map 'c' to 'libc.so' which doesn't work
// from CommandlineParser
// FIXME:  This determine module is in a strange location and should somehow be in block
// add array construction methods
// if any exceptions were raised, we fail
// very restrictive policy (disallows Member.PUBLIC) // we'd never actually get this far in that case
//            buffer = str.getByteList();
// line 1013
// Used for the 'redo' command
// line 785
// EQ != 0 (i.e. true)
// number of variables in this scope representing required arguments
// Traverse the instructions in this basic block in reverse order! // Mark as dead all instructions whose results are not used!
// block (expr)
// confirm minimum args provided
// Now clear out any previously selected channels
// This should only be called by 1.8 (1.9 subclasses this to handle unusedBlock).
"/** * SSS FIXME: Used anywhere?  I don't see calls to this anywhere    public Operand buildDAsgnAssignment(Node node, IR_Scope s) {        DAsgnNode dasgnNode = (DAsgnNode) node;        s.getVariableCompiler().assignLocalVariable(dasgnNode.getIndex(), dasgnNode.getDepth());    }**/"
// note segmentShift differs from ConcurrentHashMap's calculation due to // issues with System.identityHashCode (upper n bits always 0, at least  // under Java 1.6 / WinXP)
// FIXME: In order for Thread to play well with the standard 'new' behavior, // it must provide an allocator that can create empty object instances which // initialize then fills with appropriate data.
// colon3
// // Avoid double-copying for reads that are larger than the buffer size //
// BigInteger required a sign byte in incoming array
"/*      * This method takes as input a map of operands to their values, and outputs     * the result of this instruction.     *     * If the value map provides a value for any of the instruction's operands     * the expectation is that the operand will be replaced with the simplified value.     * It is not required that it do so -- code correctness is not compromised by failure     * to simplify.     *     * @param valueMap Mapping from operands to their simplified values     * @returns simplified result / output of this instruction     */"
// if not sync, we switch to write buffered mode
// line 655
// if we get here, the class and field exist; construct our Unsafe impl // that calls it directly
// line 766
"/*     * Determine what sort of assigner should be used for the provided 'iter' (e.g. block).     * Assigner provides just the right logic for assigning values to local parameters of the     * block.     *     * This method also has a second optimization which is to set 'noargblock' in the case that     * the block is a block which accepts no arguments.  The primary reason for this second     * optimization is that in the case of a yield with a RubyArray we will bypass some logic     * processing the RubyArray into a proper form (only to then not do anythign with it).  A     * secondary benefit is that a simple boolean seems to optimize by hotspot much faster     * than the zero arg assigner.     */"
// line 861
// we grab serial number first; the worst that will happen is we cache a later // update with an earlier serial number, which would just flush anyway
// if we have multiple asgn with just *args, need a special type for that
// Jump to 'l' if this arg is not null.  If null, fall through and build the default value!
// this needs to be split, since conditional calling #inherited doesn't fit standard ruby semantics
// Check for a builtin first.
// FIXME: Why was this using a FullFunctionCallbackMethod before that did callSuper?
// it was not found at all!
// not allowed for original (non-generated) Java classes // note: not allowing for any previously created class right now; // this restriction might be loosened later for generated classes
//        public Object invoke(Object receiver, Object arg0, Object arg1, Object arg2, Object arg3) { throw fail(); } //        public Object invoke(Object receiver, Object arg0, Object arg1, Object arg2, Object arg3, Object arg4) { throw fail(); }
//yyLhs 496
// We want unique ids for dataflow variables
// Atomic integers for symbol and method IDs
// io.available() only returns 0 after EOF is encountered // so we need to differentiate between the empty string and EOF
// Return false here
// all errors, just info; do not prevent loading // IKVM does not support JMX, and throws an error
// BreakJump, CacheEntry, ThreadContext, IRubyObject, IRubyObject
// this is the order in which MRI does these two tests
// Is there a supplied proc argument or do we assume a block was // supplied
// line 868
// IRubyObject, DynamicMethod, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, args
// line 537
// FIXME:  Total hack to get flash in Rails marshalling/unmarshalling in session ok...We need // to totally change marshalling to work with overridden core classes.
// line 1276
// ctor used by remove/rehash
"/*            public class Hello {                public static String getMessage() {                    return ""....."";                }            }            */"
// line 1681
// line 915
// line 1982
"/*     * We use FILE versus IO to match T_FILE in MRI.     */"
// FIXME: JRUBY-3188 ends up with condition returning null...quick fix until I can dig into it
// Yow...this is still ugly
// TODO: make this do specific-arity calling
// invoke
// Build the module body
// // If it is a file channel, then we can pre-allocate the output buffer // to the total size of buffered + remaining bytes in file //
// close process output // See JRUBY-3405; hooking up to parent process stdin caused // problems for IRB etc using stdin.
// line 1431
// if we have a specific-arity helper to construct an array for us, use that
// Shift_JIS
// no read requested, hook up read to parents output
// line 1158
// TODO: pass this in?
// save package module as ivar in parent, and add method to parent so // we don't have to come back here.
// ?u  | boolean | True if file1 has the setuid bit set
// // INSTANCE VARIABLE API METHODS //
// line 1307
// We only need to pass in current scope if we are evaluating as a block (which // is only done for evals).  We need to pass this in so that we can appropriately scope // down to captured scopes when we are parsing.
// Fixme: Do we need the check or does Main.java not call this...they should consolidate
// SSS FIXME: Should I have a reference to the IR_loop that is being retried?
// Build closure body and return the result of the closure
// Find power-of-two sizes best matching arguments
// from DUP_SETUP // rb_copy_generic_ivar from DUP_SETUP here ...unlikely..
/* MRI: range_op */
// remove leading whitespace (includes _ for lax) // get sign, if any
// If this thread is sleeping or stopped, wake it
// POP
// The name of this source (e.g. a filename: foo.rb)
// All "C" marshalled objects descend from core classes, which are all RubyObject
// Experimental class reification support, to create real Java classes // for Ruby classes after the first opening
// This is now needed, since module Java // isn't in by default
// TODO: make it cross runtime safe by COW or eager copy
// Clone all remaining nodes
// line 391
// TODO: rb_usascii_str_new2
//yyGindex 152
// must be power of 2 // must be power of 2
// line 8143 "-"
// skip '-' in bytes, will add where appropriate
// line 1776
// leave as a normal array
// compile first node as non-expr and then second node
// Reset value map if this instruction is the start/end of a basic block // // Right now, calls are considered hard boundaries for optimization and // information cannot be propagated across them! // // SSS FIXME: Rather than treat all calls with a broad brush, what we need // is to capture different attributes about a call : //   - uses closures //   - known call target //   - can modify scope, //   - etc. // // This information is probably already present in the AST Inspector
// line 1057
// a while node could receive non-local flow control from any of these: // * a closure within the loop // * an eval within the loop // * a block-arg-based proc called within the loop
// SSS FIXME: Should this be Operand or CompoundString? // Can it happen that symbols are built out of other than compound strings?   // Or can it happen during optimizations that this becomes a generic operand?
// marsaling dumps usec, not msec
// Process any set of annotations // No supported options
// ensure zero is devoted to no method name
// use specific-arity for as much as possible
// line 464
// package scheme 2: separate module for each full package name, constructed  // from the camel-cased package segments: Java::JavaLang::Object,
"/*     * This is the proper behavior for all non-expanded assigners.     */"
// no check for '*'
// eval value for assignment
// use array as-is, it's a literal array
// bouncy castle doesn't support algorithm
// EOF (ENEBO: After default?
// generate regexps initialization code
// Init before building basic blocks below!
// Pad with a 0
// // If the task was scheduled, wait for it to finish before polling // for the exception it would have thrown. //
// FIXME: JRUBY-3604
// NOTE: Serialization is primarily supported for testing purposes, and there is no general // guarantee that serialization will work correctly. Specifically, instance variables pointing // at symbols, threads, modules, classes, and other unserializable types are not detected.
// Returns slot of variable
// This also handles unsigned int -> negative signed int conversion
// array created for rescue args doesn't need to be in ObjectSpace.
// See if we already have this descriptor open. // If so then we can mostly share the handler (keep open // file, but possibly change the mode).
// line 657
// if element count is less than 6, use helper methods
// Colon3
// binding given, use binding's file
// this seems unlikely to happen unless it's a totally bogus fileno // ...so do we even need to bother trying to create one?
// line 436
// For simplification, get the target value, even if compound
// skip catch block
// Populate values for the parameter names
/* $": already loaded files */
// Execute rescue block
// provider is not available
// promise to implement N
// Stream-based
// single precision, native // single precision, native
// line 1116
// new factory methods ------------------------------------------------------------------------
// SSS FIXME: Can this ever be null?
// no binding given, use (eval)
// Backref for $~, $1, etc
// get implementation
// line 1775
// TODO: This is almost RubyModule#instance_methods on the metaClass.  Perhaps refactor.
// bomb out, it's not a binding or a proc
// line 326
// Block and block pass passed in at same time....uh oh
// generate variable readers initialization code
// flags // 4 bytes of modified time
// line 481
// line 445
// exact arg list __file__
// end of variable scope
// redo jump handling
//System.err.println(" getSign/" + sign);
// walk all superclasses aggregating interfaces
// line 1326
// line 775
// line 1595
// Now attach Java-related extras to core classes
// XXX: Again, screwy evaling under previous frame's scope
/* \cX, \c\M-X */
// line 1800
// entry exists, proxy doesn't match. replace. // this could happen if old proxy was gc'ed // TODO: raise exception if stored proxy is non-null? (not gc'ed)
// all methods dispatch to the simple version by default, which is method_missing normally
// create method for toplevel of script
// if undefined, branch to method_missing
// check visibility // dup method
// line 1489
// FIXME: This isn't right for within ensured/rescued code
// use original modes
// line 549
// line 525
// assign given optional arguments to their variables
/* rb: writable */
// self // method name
// Java / and % are not the same as ruby
// TODO: get rid of this (lax returns 0.0, strict will throw)
// I believe Ruby bails out with a "bug" if closing fails
// line 940
// exceptionNext target is for a next that doesn't push a new value, like this one
/*$8 == null ? NilImplicitNode.NIL : $8;*/
// prepare to call class definition method
// normal file descriptor..try to work with it
// 0x3fff_ffff // -0x4000_0000
// carriage return
// java.lang.Object is added at root of java proxy classes
// line 1708
// deal with case when "other" is not a string
// Init
// "head" must have no non-trivial assigns (array groupings, basically)
// line 1651
// For 'foo()'.  Args are only significant in maintaining backwards compatible AST structure
// Can this call lead to ruby code getting modified?   // If we don't know what method we are calling, we assume it can (pessimistic, but safe!) // If we do know the target method, we ask the method itself whether it modifies ruby code
// re-register the descriptor
// ?d  | boolean | True if file1 exists and is a directory
// Figure end-char.  '\0' is special to indicate begin=end and that no nesting?
// notify thread to proceed
// framed invokers will have Ruby frames associated with them
// line 1694
// The method doesn't need a scope or static scope; frame only
// line 1406
// line 869
// line 996
// We only want IO objects with valid streams (better to error now).
// line 1008
"/* ============================     * Here are hash internals     * (This could be extracted to a separate class but it's not too large though)     * ============================     */"
//Do not add an empty string node
// Serialization killed our dynamic scope.  We can just create an empty one // since serialization cannot serialize an eval (which is the only thing // which is capable of having a non-empty dynamic scope).
// line 806
// see note above re: return type
// neither
// Contains a list of all blocks (as Procs) that should be called when // the runtime environment exits.
// File to be loaded by autoload has already been or is being loaded.
// variable is never read, variable is never live
// If we hold a Java object, we need a java_class accessor
// We need to ensure that the variable names generated here cannot conflict with ruby variable names! // Hence the "%" tthat is appended to the beginning!
// line 1669
// line 1782
// line 760
// if adding a module under a constant name, set that module's basename to the constant name
// only public static fields that are valid constants
// these are only needed if we have a non-noop call config
/* When a length is given, read_string acts like get_bytes */
// line 948
// The dataStruct is a place where custom information can be // contained for core implementations that doesn't necessarily // want to go to the trouble of creating a subclass of // RubyObject. The OpenSSL implementation uses this heavily to // save holder objects containing Java cryptography objects. // Java integration uses this to store the Java object ref. //protected transient Object dataStruct;
// TODO: CLONE_SETUP here
// switch on the object's *native type*. This allows use-defined // classes that have extended core native types to piggyback on their // marshalling logic.
// Here starts the logic for the class definition
/* \xHH */
// Value of "TZ" property is of a bit different format, // which confuses the Java's TimeZone.getTimeZone(id) method, // and so, we need to convert it.
// line 956
// line 1702
// now logic for each optional value
// interrupt the target thread in case it's blocking or waiting // WARNING: We no longer interrupt the target thread, since this usually means // interrupting IO and with NIO that means the channel is no longer usable. // We either need a new way to handle waking a target thread that's waiting // on IO, or we need to accept that we can't wake such threads and must wait // for them to complete their operation. //threadImpl.interrupt();
// can't be converted any more, return it
// line 534
// "assignment" means the value is already on the stack
// line 2000
// can't read non-standard properties
// File::Constants module is included in IO.
// line 1815
// we are presumably running a precompiled class; load directly
// line 646
// FIXME: needs to be rethought
// TODO: other reserved names?
// rb_reg_expr_str
"/*     * Not normally used, but is left in here since it can be useful in debugging     * grammar and lexing problems.     *     */"
// recv returns nil on EOF
//call throwException via JRuby
// module is on top of stack
// line 478
// line 803
// line 902
// // COMMON VARIABLE METHODS //
// line 331
// done // done // done // Nothing to do for 1.8 // done // done // done // done // done // done // done? // done // done // done // done // done // done // done // done // done // done // done //            case DEFINEDNODE: return buildDefined(node, m); // Incomplete // done // done // done // done // done // done // done // done //            case ENSURENODE: return buildEnsureNode(node, m); // DEFERRED // done // done // done // done //            case FLIPNODE: return buildFlip(node, m); // SSS FIXME: What code generates this AST? // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done // done? // done // done // done // done // done // done -- partially //            case OPELEMENTASGNNODE: return buildOpElementAsgn(node, m); // DEFERRED SSS FIXME: What code generates this AST? // done //            case POSTEXENODE: return buildPostExe(node, m); // DEFERRED //            case PREEXENODE: return buildPreExe(node, m); // DEFERRED // done?? // done
// FIXME: DSTR,EVSTR,STR: warning "string literal in condition"
// generate call sites initialization code
//yyLen 496
//        assert internedName == internedName.intern() : internedName + " is not interned";
// Note: this field and the following static initializer // must be located be in this order!
// try only literal search
// start class
// must be a public method
// line 1722
// XXX: Check if it's appropriate type?
/* FIXME: arg_concat missing for opt_call_args*/
// check for Proc.new, an especially magic method
/* $`: string before last match */
// line number
// line 1137
// TODO: rescan code range ?
// line 1196
// line 854
//            case RESCUENODE: return buildRescue(node, m); // DEFERRED //            case RETRYNODE: return buildRetry(node, m); // DEFERRED // done
// TODO: Add IR instructions for checking method arity! // s.getVariableCompiler().checkMethodArity(required, opt, rest);
// Construct local variables based on parameter names passed in
// hmmmm
// line 830
//TODO deal with UNC names
// otherwise one key has been selected (ours) so we get the channel and hand it off
// line 1286
// references to the Java object and its proxy will either both be // weak or both be soft, since the proxy contains a strong reference // to the object, so it wouldn't make sense for the reference types // to differ.
// FIXME: Translate this call below! // s.unwrapPassedBlock();
// using IOChannel may not be the most performant way, but it's easy.
// install invokedynamic bootstrapper // TODO need to abstract this setup behind another compiler interface
// Must be called from main thread (it is currently, but this bothers me)
// this is the only case it might be null here (in MetaClass construction)
// TODO: this method is not present in MRI!
// initial spaces // spaces before "at"
/* MRI: block_append */
// i'th argument
// update all subclasses
// line 1241
// First, build assignments for specific named arguments
//  Single node on list
// TODO: decompose getJavaPackageModule so we don't parse fullName
// alu operations
// line 967
// method itself // ThreadContext // invoked name
// try lookup again under lock
// space
// line 1725
// not closing from finalize
// MRI behavior: In this mode // trailing zeroes are removed: // 1.500E+05 -> 1.5E+05
// TODO: exec should replace the current process. // This could be possible with JNA.
// We only define one special dynamic scope per 'logical' binding.  So all bindings for // the same scope should share the same dynamic scope.  This allows multiple evals with // different different bindings in the same scope to see the same stuff.
// TODO: Make this more intelligible value
// line 708
// Decrease value to hit upper range.
// this really needs to be inlined here
// shift the decimal point just to the right of the digit to be rounded to (divide by 10**(abs(scale))) // -1 -> 10's digit, -2 -> 100's digit, etc.
"/*                     * Execute Ruby statements.                     */"
// done processing args
// The method is intentionally not public, since it typically should // not be used outside of the core.
// TODO: Only setAccessible to account for pattern found by // accessing constants included from a non-public interface. // (aka java.util.zip.ZipConstants being implemented by many // classes) // TODO: not sure we need this at all, since we only expose // public fields. //field.setAccessible(true);
// line 978
// exit monitor before making call // FIXME: this not being in a finally is a little worrisome
// w_unique
// line 1085
// bit risky if someone changes completor, but useful for method calls
// line 1728
// JRUBY-2435: Aliasing eval and other "special" methods should display a warning // We warn because we treat certain method names as "special" for purposes of // optimization. Hopefully this will be enough to convince people not to alias // them.
// Returns the containing parent scope -- can be a dynamic value (hence Operand)!
// line 1173
// Zero-Argument declaration
// write `I' instance var signet if class is NOT a direct subclass of Object
// This should only be called by this and RubyFile. // It allows this object to be created without a IOHandler.
// line 1615
// return jump handling
// // Now read unbuffered directly from the file //
// On platforms without a c-library accessable through JNA, getpid will return hashCode  // as $$ used to. Using $$ to kill processes could take down many runtimes, but by basing // $$ on getpid() where available, we have the same semantics as MRI.
// IRubyObject, RubyClass, CacheEntry, ThreadContext, IRubyObject, IRubyObject, String, args
//private UnsynchronizedStack parentStack;
// perform the dispatch
// finally, set JavaSupport.isEnabled to true
// line 916
//        case 4: //        case 5:
// Get the main threadcontext (gets constructed for us)
// the proxy (wrapper) type hierarchy
// line 1731
// ignore, we're on the way out
// rb_str_hash_cmp
// if the insertion point is a class, update subclass lists
// can be overridden to be informed when objects are removed
// then deliver mail to the target
// [recv]
// can't select, just have to do a blocking call
// significant digits and exponent
// check if we're a stdio IO, and ensure we're not badly mutilated
// line 497
// Get a new label using the provided label prefix
// and remaining jump exceptions should restore $!
// 'd' and 'i' are the same
// proxy module for interfaces
// libc flushes writes on any read from the actual file, so we flush here
// if body is a rescue node, inspect its pieces separately to avoid it disabling all optz // TODO: this is gross.
//System.err.println(" stringToLong/converted c=" + c);
// for specific-index cases, clean up non-expression values
/* hex constant */
// static initializing method
// getSimplifiedOperand returns the value of this operand, fully simplified // getSimplifiedOperand returns the operand in a form that can be materialized into bytecode, if it cannot be completely optimized away // // The value is used during optimizations and propagated through the IR.  But, it is thrown away after that. // But, the operand form is used for constructing the compound objects represented by the operand. // // Example: a = [1], b = [3,4], c = [a,b], d = [2,c] //   -- getValue(c) = [1,[3,4]];     getSimplifiedOperand(c) = [1, b] //   -- getValue(d) = [2,[1,[3,4]]]; getSimplifiedOperand(d) = [2, c] // // Note that a,b,c,d are all objects, and c has a reference to objects a and b, and d has a reference to c. // So, if contents of a or b is modified, the "simplified value"s of c and d also change!  This difference // is captured by these two methods.
// is_something?, contains_thing?
// exec process, create IO with process
// Position within source must reflect the actual offset and column.  Since // we ate an extra character here (this accounting is normally done in read // ), we should update position info.
// if we're already aborting, we can receive no further mail
/* Module class methods */
// line 1442
// load arity for error
// All errors to sysread should be SystemCallErrors, but on a closed stream // Ruby returns an IOError.  Java throws same exception for all errors so // we resort to this hack...
// simple path, no multimethod
// Double.MAX_EXPONENT since Java 1.6
// line 348
// Count number of extra slashes in the beginning of the string.
/* ---------- Private fields, methods --------- */
// visit a label to start scoping for local vars in this method
// otherwise no items left available, use the code for default
// treat start and end as start...end for end >= 0, start..end for end < 0
// This point is only reached if there was an exception handler installed.
// SunSignalFacade
// Some helper functions:
// 4 -> e+nn / e-nn
// Check the length every iteration, since // the block can modify this string.
// Replace memory object with one that throws an exception on any access
// line 1387
/* rb_str_substr */
// start a new populator
/* TODO: MRI is just a when node.  We need this extra logic for IDE consumers (null in casenode statement should be implicit nil)*/
// x0 ~ sqrt()
